,index,Código entidad,Entidad,Indicador,Valor,Año
21,21,5079,Barbosa,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),16.09071301,2017
22,22,5604,Remedios,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),21.91294913,2017
23,23,5376,La Ceja del Tambo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.099025471,2017
24,24,5495,Nechí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),36.07039903,2017
25,25,5647,San Andrés de Cuerquía,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),8.21925613,2017
26,26,5690,Santo Domingo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),13.89457313,2017
27,27,5150,Carolina del Príncipe,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.28123842,2017
28,28,5885,Yalí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),15.81758279,2017
29,29,5282,Fredonia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.82119727,2017
30,30,5440,Marinilla,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.507945056,2017
31,31,5837,Turbo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),38.95615749,2017
32,32,5093,Betulia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),8.99920313,2017
33,33,5576,Pueblorrico,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),11.66890609,2017
34,34,5031,Amalfi,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.335783517,2017
35,35,5321,Guatapé,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.01791571,2017
36,36,5679,Santa Bárbara,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.113968596,2017
37,37,5674,San Vicente Ferrer,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),12.58459961,2017
38,38,5642,Salgar,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),11.69779359,2017
39,39,5628,Sabanalarga,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),45.014996,2017
40,40,5264,Entrerríos,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),6.94401076,2017
41,41,5756,Sonsón,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),13.65222145,2017
42,42,5483,Nariño,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.25885479,2017
43,43,5664,San Pedro de los Milagros,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),6.218309934,2017
44,44,5861,Venecia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),12.07971681,2017
45,45,5658,San José de la Montaña,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),5.67317723,2017
46,46,5134,Campamento,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),18.4478607,2017
47,47,5475,Murindó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),33.04352522,2017
48,48,5501,Olaya,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),8.655747528,2017
49,49,5467,Montebello,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),12.27323606,2017
50,50,5400,La Unión,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),2.587415452,2017
51,51,5190,Cisneros,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),21.87585923,2017
52,52,5004,Abriaquí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.33142424,2017
53,53,5045,Apartadó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),47.55612264,2017
54,54,5607,El Retiro,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),4.528790097,2017
55,55,5360,Itagüí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.533771681,2017
56,56,5541,Peñol,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),4.261338119,2017
57,57,5040,Anorí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.084520106,2017
58,58,5789,Támesis,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),6.112604955,2017
59,59,5315,Guadalupe,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.578290993,2017
60,60,5036,Angelópolis,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),20.59375497,2017
61,61,5308,Girardota,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.72890066,2017
62,62,5145,Caramanta,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),5.716212758,2017
63,63,5615,Rionegro,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),5.451737295,2017
64,64,5250,El Bagre,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),25.45113891,2017
65,65,5790,Tarazá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),0.0,2017
66,66,5361,Ituango,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.61119258,2017
67,67,5887,Yarumal,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.69821832,2017
68,68,5240,Ebéjico,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),3.266118935,2017
69,69,5660,San Luis,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),11.10367314,2017
70,70,5209,Concordia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.710056628,2017
71,71,5001,Medellín,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),11.58384321,2017
72,72,5129,Caldas,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),16.15116463,2017
73,73,5656,San Jerónimo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),8.544418011,2017
74,74,5310,Gómez Plata,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.050219515,2017
75,75,5425,Maceo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),22.45137161,2017
76,76,5792,Tarso,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),6.93864242,2017
77,77,5858,Vegachí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.4679869,2017
78,78,5649,San Carlos,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),18.31792696,2017
79,79,5234,Dabeiba,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.47984225,2017
80,80,5380,La Estrella,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),8.397748813,2017
81,81,5154,Caucasia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),25.12229789,2017
82,82,5480,Mutatá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),37.0733518,2017
83,83,5893,Yondó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),0.0,2017
84,84,5809,Titiribí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),12.36532636,2017
85,85,5148,El Carmen de Viboral,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),12.65466235,2017
86,86,5819,Toledo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),11.63419983,2017
87,87,5895,Zaragoza,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),32.28533842,2017
88,88,5854,Valdivia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.47626604,2017
89,89,5490,Necoclí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),36.0496501,2017
90,90,5890,Yolombó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),13.00754583,2019
91,91,5206,Concepción,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),17.87886642,2019
92,92,5658,San José de la Montaña,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),32.83852463,2019
93,93,5030,Amagá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.25625219,2019
94,94,5031,Amalfi,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.04150039,2019
95,95,5361,Ituango,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),44.94898634,2019
96,96,5364,Jardín,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),16.33101745,2019
97,97,5093,Betulia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.88367013,2019
98,98,5197,Cocorná,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),24.21043277,2019
99,99,5212,Copacabana,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),24.22778615,2019
100,100,5647,San Andrés de Cuerquía,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),35.65707694,2019
101,101,5313,Granada,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),21.59314698,2019
102,102,5034,Andes,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.2908367,2019
103,103,5543,Peque,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),24.74995659,2019
104,104,5631,Sabaneta,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),15.49164515,2019
105,105,5036,Angelópolis,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.34048868,2019
106,106,5576,Pueblorrico,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.33234795,2019
107,107,5495,Nechí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),64.60470897,2019
108,108,5790,Tarazá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),70.75724036,2019
109,109,5264,Entrerríos,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),21.78901092,2019
110,110,5001,Medellín,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.09631456,2019
111,111,5002,Abejorral,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),18.97134783,2019
112,112,5282,Fredonia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.64416998,2019
113,113,5308,Girardota,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),20.19512787,2019
114,114,5591,Puerto Triunfo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.3681851,2019
115,115,5310,Gómez Plata,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),29.26434285,2019
116,116,5318,Guarne,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),17.89649524,2019
117,117,5501,Olaya,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),28.04716891,2019
118,118,5856,Valparaíso,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.312310864,2017
119,119,5631,Sabaneta,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),6.439673553,2017
120,120,5154,Caucasia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),52.21153869,2019
121,121,5842,Uramita,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),41.32264132,2019
122,122,5854,Valdivia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),66.23320568,2019
123,123,5107,Briceño,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),45.95664977,2019
124,124,5002,Abejorral,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),5.783311184,2017
125,125,5021,Alejandría,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),11.01329714,2017
126,126,5030,Amagá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),13.7545566,2017
127,127,5034,Andes,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.40296335,2017
128,128,5237,Donmatías,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),2.211268838,2017
129,129,5044,Anzá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),29.19740153,2019
130,130,5390,La Pintada,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),32.77269866,2019
131,131,5607,El Retiro,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),19.85025137,2019
132,132,5145,Caramanta,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),33.92661665,2019
133,133,5209,Concordia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),19.52765663,2019
134,134,5475,Murindó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),58.89242654,2019
135,135,5051,Arboletes,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),35.37538887,2013
136,136,5079,Barbosa,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),33.31206704,2013
137,137,5480,Mutatá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),38.84822045,2013
138,138,5364,Jardín,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.44893746,2013
139,139,5055,Argelia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),45.64345493,2013
140,140,5093,Betulia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),24.10478309,2013
141,141,5042,Santa Fé de Antioquia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),30.74387802,2013
142,142,5197,Cocorná,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),29.18469384,2013
143,143,5318,Guarne,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),19.00095224,2013
144,144,5665,San Pedro de Urabá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),48.76511924,2013
145,145,5604,Remedios,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),30.58709954,2013
146,146,5059,Armenia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),32.3756699,2013
147,147,5789,Támesis,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.38152619,2013
148,148,5656,San Jerónimo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),38.49561279,2013
149,149,5353,Hispania,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),22.61491923,2013
150,150,5282,Fredonia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),17.94256233,2013
151,151,5659,San Juan de Urabá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),60.5506352,2013
152,152,5040,Anorí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),22.62161195,2013
153,153,5234,Dabeiba,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),38.38086625,2013
154,154,5792,Tarso,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),39.81226198,2013
155,155,5736,Segovia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.90063165,2017
156,156,5038,Angostura,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.7975334,2017
157,157,5101,Ciudad Bolívar,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),25.04280051,2019
158,158,5652,San Francisco,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),36.69862092,2019
159,159,5440,Marinilla,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),19.01356714,2019
160,160,5893,Yondó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),42.33484806,2019
161,161,5190,Cisneros,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),17.16371759,2019
162,162,5234,Dabeiba,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),38.88308581,2019
163,163,5051,Arboletes,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),58.22350646,2019
164,164,5079,Barbosa,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),19.54856524,2019
165,165,5490,Necoclí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),57.98697165,2019
166,166,5604,Remedios,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),11.76568035,2019
167,167,5873,Vigía del Fuerte,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),65.0078454,2019
168,168,5686,Santa Rosa de Osos,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.339332882,2017
169,169,5055,Argelia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.730100041,2017
170,170,5107,Briceño,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.33929843,2017
171,171,5125,Caicedo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.80468936,2017
172,172,5659,San Juan de Urabá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),34.00882213,2017
173,173,5674,San Vicente Ferrer,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),17.47476925,2021
174,174,5842,Uramita,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),31.94160915,2021
175,175,5861,Venecia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),21.69716878,2021
176,176,5895,Zaragoza,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),38.85918169,2021
177,177,5002,Abejorral,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),22.86372523,2021
178,178,5154,Caucasia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),42.50455003,2021
179,179,5501,Olaya,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),35.76616226,2021
180,180,5034,Andes,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),31.54387589,2021
181,181,5036,Angelópolis,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),28.71486015,2021
182,182,5264,Entrerríos,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),24.34063584,2021
183,183,5088,Bello,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),28.21547585,2021
184,184,5591,Puerto Triunfo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),29.43258297,2021
185,185,5686,Santa Rosa de Osos,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),25.5106987,2021
186,186,5101,Ciudad Bolívar,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.25581672,2013
187,187,5667,San Rafael,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),25.5016595,2013
188,188,5490,Necoclí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),51.30149243,2013
189,189,5649,San Carlos,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),36.02674568,2013
190,190,5440,Marinilla,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),17.62394319,2013
191,191,5642,Salgar,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.78862564,2013
192,192,5125,Caicedo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.9591331,2013
193,193,5237,Donmatías,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),13.87736423,2013
194,194,5576,Pueblorrico,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),34.10512907,2013
195,195,5690,Santo Domingo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),15.76408609,2013
196,196,5819,Toledo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),36.71341176,2013
197,197,5660,San Luis,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),30.92860978,2013
198,198,5890,Yolombó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),20.19518717,2013
199,199,5893,Yondó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),46.64887182,2013
200,200,5501,Olaya,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),42.23062155,2013
201,201,5585,Puerto Nare,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),32.44694657,2013
202,202,5240,Ebéjico,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),24.01707013,2019
203,203,5055,Argelia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),37.93648546,2019
204,204,5411,Liborina,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.1518759,2019
205,205,5674,San Vicente Ferrer,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),12.35022523,2019
206,206,5495,Nechí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),66.14492079,2013
207,207,5147,Carepa,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),33.77100741,2013
208,208,5579,Puerto Berrío,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),39.55169229,2013
209,209,5172,Chigorodó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),41.5982375,2013
210,210,5652,San Francisco,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),39.885121,2013
211,211,5120,Cáceres,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),52.92549606,2013
212,212,5543,Peque,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),38.5403638,2013
213,213,5212,Copacabana,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.45100607,2013
214,214,5400,La Unión,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),33.57618886,2013
215,215,5809,Titiribí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.97854093,2013
216,216,5679,Santa Bárbara,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),32.79378619,2013
217,217,5858,Vegachí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),36.83139312,2013
218,218,5150,Carolina del Príncipe,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.94875879,2013
219,219,5541,Peñol,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),22.36278349,2013
220,220,5628,Sabanalarga,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),42.77083349,2013
221,221,5038,Angostura,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.23188683,2013
222,222,5240,Ebéjico,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),31.13445831,2013
223,223,5088,Bello,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),45.30403306,2013
224,224,5854,Valdivia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),40.28897853,2013
225,225,5483,Nariño,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),39.13107712,2013
226,226,5001,Medellín,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.67864238,2013
227,227,5086,Belmira,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),25.69264069,2013
228,228,5837,Turbo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),48.51973474,2013
229,229,5842,Uramita,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),37.64124294,2013
230,230,5790,Tarazá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),41.67902015,2013
231,231,5034,Andes,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),30.60516425,2013
232,232,5107,Briceño,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),30.68657919,2013
233,233,5091,Betania,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),38.11595773,2013
234,234,5736,Segovia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.33785293,2013
235,235,5306,Giraldo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),28.39196757,2013
236,236,5284,Frontino,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),31.12511164,2013
237,237,5607,El Retiro,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),17.5520674,2013
238,238,5376,La Ceja del Tambo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),16.41856215,2013
239,239,5360,Itagüí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),24.41592036,2013
240,240,5756,Sonsón,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),31.36055732,2013
241,241,5390,La Pintada,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),37.44620374,2013
242,242,5425,Maceo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.66258006,2013
243,243,5591,Puerto Triunfo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),29.7514765,2013
244,244,5031,Amalfi,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),30.89790974,2013
245,245,5190,Cisneros,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),28.50368162,2013
246,246,5647,San Andrés de Cuerquía,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),33.5730196,2013
247,247,5315,Guadalupe,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),28.10109813,2013
248,248,5313,Granada,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),21.91267891,2013
249,249,5664,San Pedro de los Milagros,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),19.745018,2013
250,250,5044,Anzá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),12.31880723,2013
251,251,5145,Caramanta,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),23.33333333,2013
252,252,5847,Urrao,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),30.63641779,2013
253,253,5475,Murindó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),72.66219239,2013
254,254,5873,Vigía del Fuerte,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),59.41303296,2013
255,255,5887,Yarumal,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),24.01929335,2013
256,256,5467,Montebello,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),36.26082993,2013
257,257,5411,Liborina,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.18178705,2013
258,258,5206,Concepción,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),33.44496943,2013
259,259,5045,Apartadó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),37.0107616,2013
260,260,5142,Caracolí,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),12.8913142,2013
261,261,5361,Ituango,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),49.54526808,2013
262,262,5059,Armenia,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),19.05964351,2017
263,263,5088,Bello,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),11.33963661,2017
264,264,5670,San Roque,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.82673199,2017
265,265,5585,Puerto Nare,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),19.20490703,2017
